Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
don,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.003906,1.479841,314.72,0.59,5:15.42,99,37465,315954,55486061,17569115,zstd-22,4,31,31,82,88
dop,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.00025,0.269323,2.11,0.07,0:02.24,97,369.23,2252,55486063,17660915,zstd,4,31,31,82,88
dop,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.00025,0.269323,3.79,0.09,0:03.92,99,472.83,3936,55486063,17575217,zstd-11,4,31,31,82,88
dop,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.00025,0.269323,322.99,0.53,5:23.61,99,38108.2,324074,55486063,17540200,zstd-22,4,31,31,82,88
extw,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.1,0.20703,0.18,0.05,0:00.31,77,125.92,325,55486047,698404,zstd,4,31,31,82,88
extw,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.1,0.20703,1.62,0.05,0:01.70,98,230.74,1714,55486047,593999,zstd-11,4,31,31,82,88
extw,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.1,0.20703,256.8,0.45,4:17.33,99,30323.6,258124,55486047,532650,zstd-22,4,31,31,82,88
fPAR,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.369264,1.71,0.07,0:01.84,97,252.23,1853,55486043,14274166,zstd,4,31,31,82,88
fPAR,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.369264,3.36,0.07,0:03.48,98,463.94,3496,55486043,14146382,zstd-11,4,31,31,82,88
fPAR,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.369264,283.22,0.51,4:44.08,99,33701.2,284920,55486043,14022544,zstd-22,4,31,31,82,88
f_air_o2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-846.593189,85.755549,0.26,0.05,0:00.36,86,139.42,378,55486041,1367215,zstd,4,31,31,82,88
f_air_o2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-846.593189,85.755549,1.94,0.07,0:02.16,93,364.13,2173,55486041,1381636,zstd-11,4,31,31,82,88
f_air_o2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-846.593189,85.755549,215.87,0.52,3:36.48,99,25814.4,216520,55486041,985416,zstd-22,4,31,31,82,88
f_air_o2o,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-34.30673,391.294211,0.25,0.05,0:00.32,97,128.13,332,55486040,1356700,zstd,4,31,31,82,88
f_air_o2o,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-34.30673,391.294211,1.89,0.06,0:01.96,99,240.81,1973,55486040,1370628,zstd-11,4,31,31,82,88
f_air_o2o,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,-34.30673,391.294211,217.37,0.52,3:37.95,99,26062.1,218537,55486040,973045,zstd-22,4,31,31,82,88
f_atm_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.155981,0.27,0.05,0:00.34,97,137.63,359,55486041,1562687,zstd,4,31,31,82,88
f_atm_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.155981,1.99,0.07,0:02.11,98,345.62,2126,55486041,1573779,zstd-11,4,31,31,82,88
f_atm_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.155981,213.46,0.55,3:34.09,99,25499.8,214686,55486041,1169778,zstd-22,4,31,31,82,88
f_atm_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.350989,0.27,0.06,0:00.59,57,108.78,606,55486041,1565241,zstd,4,31,31,82,88
