Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
apmeb,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-0.002197,0.001893,0.18,0.03,0:00.22,96,136.48,233,9160665,8631458,zstd,3,124,96,192,
apmeb,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-0.002197,0.001893,0.38,0.02,0:00.41,98,119.69,422,9160665,8631491,zstd-11,3,124,96,192,
apmeb,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-0.002197,0.001893,5.1,0.02,0:05.23,97,695.68,5250,9160665,8636907,zstd-22,3,124,96,192,
apmegl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-2.3E-05,0.000662,0.1,0,0:00.12,93,128.45,129,9160652,1011300,zstd,3,124,96,192,
apmegl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-2.3E-05,0.000662,0.13,0.02,0:00.17,91,111.97,183,9160652,1005779,zstd-11,3,124,96,192,
apmegl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-2.3E-05,0.000662,43.87,0.01,0:43.90,99,5158.54,43920,9160652,1006667,zstd-22,3,124,96,192,
aprc,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.002112,0.23,0.02,0:00.26,96,115.61,275,9160660,1798831,zstd,3,124,96,192,
aprc,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.002112,0.52,0.01,0:00.54,98,135.51,560,9160660,1759609,zstd-11,3,124,96,192,
aprc,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.002112,74.99,0.01,1:15.03,99,8811.48,75061,9160660,1765459,zstd-22,3,124,96,192,
aprl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001699,0.19,0.01,0:00.22,96,120.03,232,9160660,8602384,zstd,3,124,96,192,
aprl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001699,0.37,0.03,0:00.41,98,114.26,426,9160660,8602459,zstd-11,3,124,96,192,
aprl,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001699,4.93,0.01,0:04.96,99,588.87,4972,9160660,8604903,zstd-22,3,124,96,192,
aprs,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001216,0.19,0.03,0:00.23,97,117.46,247,9160644,7990602,zstd,3,124,96,192,
aprs,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001216,0.8,0.02,0:00.84,98,109.14,854,9160644,7768562,zstd-11,3,124,96,192,
aprs,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.001216,5.9,0.01,0:05.94,99,710.72,5959,9160644,7142055,zstd-22,3,124,96,192,
aps,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,50466.703125,108005.351562,0.19,0.02,0:00.22,96,117.18,239,9160645,7376814,zstd,3,124,96,192,
aps,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,50466.703125,108005.351562,0.73,0.03,0:00.78,99,114.35,792,9160645,7376978,zstd-11,3,124,96,192,
aps,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,50466.703125,108005.351562,9.8,0.03,0:09.91,99,1156.29,9924,9160645,7347851,zstd-22,3,124,96,192,
az0i,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.001,0.001,0.02,0.01,0:00.04,82,122.15,56,9160653,24180,zstd,3,124,96,192,
az0i,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.001,0.001,0.03,0.01,0:00.06,80,110.83,72,9160653,24180,zstd-11,3,124,96,192,
az0i,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.001,0.001,0.07,0.01,0:00.08,92,122.34,99,9160653,24180,zstd-22,3,124,96,192,
az0l,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,20.013189,0.3,0.01,0:00.32,97,133.26,334,9160654,2331589,zstd,3,124,96,192,
az0l,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,20.013189,0.58,0.01,0:00.61,98,112.98,621,9160654,2298272,zstd-11,3,124,96,192,
